,avg_ids,Teff,parallax,parallax_error,m336,m439,m656,m814,m435,m555,m658,m775,m850,m110,m160,m130,m139,e336,e439,e656,e814,e435,e555,e658,e775,e850,e110,e160,e130,e139,f_m336,f_m439,f_m656,f_m814
496,1046.0,,,,,,,,,,,23.46996419501451,22.27614302720148,,,19.1683,18.884,,,,,,,,0.0402137586505508,0.0301912408339051,,,0.0108395,0.0113021,,,,
497,1048.0,,,,,,,,26.957278159830302,26.36571958606526,,22.618732816120307,21.36446014462041,,,18.6387,18.3973,,,,,0.5251976944671414,0.3866256896320767,,0.0207030303800259,0.0149568694040315,,,0.0117215,0.0102946,,,,
498,1049.0,,,,,,,,26.3225201914009,25.54023609170889,,23.664648551432556,22.093099215734373,,,19.2394,18.9737,,,,,0.3361046122196424,0.2111625370641874,,0.0445643212128379,0.0245223984583154,,,0.050835,0.00518481,,,,
499,1051.0,,,,,,,,,,,24.033673260431488,22.521624720808266,20.358,18.57,19.3523,18.9547,,,,,,,,0.081453255929258,0.0430822969345981,0.179,0.109,0.0660705,0.000407307,,,,
500,1053.0,,,,,,,,,25.73542762561637,23.040477464811723,22.39218123010636,21.27168012374433,,,18.611,18.4502,,,,,,0.288225008068813,0.5072560226805436,0.0207995896386189,0.0150939074643387,,,0.0803204,0.0860025,,,,
501,1054.0,,,,,,,,,27.23970935710542,22.24825125539182,22.525747433651464,21.222531150428505,,,18.3206,18.0542,,,,,,1.0369270175482792,0.2753473610767015,0.0166743264206812,0.0120531228279227,,,0.0185384,0.028182,,,,
502,1056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,1057.0,,,,,,,18.9801,26.534509587546555,25.734369151824662,23.19144090255093,20.980008822389703,19.531971585075805,17.553,16.17,16.3705,16.0826,22.8476,21.6192,,0.0943,0.6206099188869946,0.3259195155843372,1.2127480535607618,0.0084836260334918,0.0040119212757584,0.045,0.035,0.0290349,0.0193263,2.0,2.0,3.0,1.0
504,1059.0,,1.0987018430845354,0.5076918,,,,17.9634,24.224231408063595,22.09509893144913,20.283692067408616,19.192693049468986,18.168528689377016,16.475,14.96,15.6377,15.4564,21.9451,22.5279,19.0036,0.0599,0.0575070146178402,0.0116374512618542,0.0555980563823176,0.0018658374543443,0.0017562812397958,0.028,0.02,0.0187678,0.00435356,2.0,2.0,2.0,1.0
505,1061.0,,,,,,,,26.74015877884425,25.67139726373777,22.76716252555182,22.62497188381625,21.56173293613305,,,,,,,,,0.5805714924159544,0.1974615072061731,0.2951403695652828,0.0168826603318684,0.0130425071928598,,,,,,,,
